week,qType,rank,question,relFreq,peakDate
2020-10-18,how,2,How to make hand sanitizer,0,2020-03-15
2020-10-25,how,2,How to make hand sanitizer,0,2020-03-15
2020-11-01,how,2,How to make hand sanitizer,0.5,2020-03-15
2020-11-08,how,2,How to make hand sanitizer,0,2020-03-15
2020-11-15,how,2,How to make hand sanitizer,0.44,2020-03-15
2020-11-22,how,2,How to make hand sanitizer,1,2020-03-15
2020-11-29,how,2,How to make hand sanitizer,1,2020-03-15
2020-12-06,how,2,How to make hand sanitizer,0.32,2020-03-15
2020-12-13,how,2,How to make hand sanitizer,0.33,2020-03-15
2020-12-20,how,2,How to make hand sanitizer,0,2020-03-15
2020-01-05,how,3,How to make bread,10,2020-03-29
2020-01-12,how,3,How to make bread,8,2020-03-29
2020-01-19,how,3,How to make bread,13,2020-03-29
2020-01-26,how,3,How to make bread,13,2020-03-29
2020-02-02,how,3,How to make bread,13,2020-03-29
2020-02-09,how,3,How to make bread,16,2020-03-29
2020-02-16,how,3,How to make bread,17,2020-03-29
2020-02-23,how,3,How to make bread,12,2020-03-29
2020-03-01,how,3,How to make bread,15,2020-03-29
2020-03-08,how,3,How to make bread,25,2020-03-29
2020-03-15,how,3,How to make bread,71,2020-03-29
2020-03-22,how,3,How to make bread,92,2020-03-29
2020-03-29,how,3,How to make bread,100,2020-03-29
2020-04-05,how,3,How to make bread,79,2020-03-29
2020-04-12,how,3,How to make bread,73,2020-03-29
2020-04-19,how,3,How to make bread,59,2020-03-29
2020-04-26,how,3,How to make bread,63,2020-03-29
2020-05-03,how,3,How to make bread,56,2020-03-29
2020-05-10,how,3,How to make bread,48,2020-03-29
2020-05-17,how,3,How to make bread,36,2020-03-29
2020-05-24,how,3,How to make bread,30,2020-03-29
2020-05-31,how,3,How to make bread,29,2020-03-29
2020-06-07,how,3,How to make bread,27,2020-03-29
2020-06-14,how,3,How to make bread,25,2020-03-29
2020-06-21,how,3,How to make bread,18,2020-03-29
2020-06-28,how,3,How to make bread,21,2020-03-29
2020-07-05,how,3,How to make bread,22,2020-03-29
2020-07-12,how,3,How to make bread,17,2020-03-29
2020-07-19,how,3,How to make bread,20,2020-03-29
2020-07-26,how,3,How to make bread,16,2020-03-29
2020-08-02,how,3,How to make bread,14,2020-03-29
2020-08-09,how,3,How to make bread,11,2020-03-29
2020-08-16,how,3,How to make bread,15,2020-03-29
2020-08-23,how,3,How to make bread,13,2020-03-29
2020-08-30,how,3,How to make bread,15,2020-03-29
2020-09-06,how,3,How to make bread,12,2020-03-29
2020-09-13,how,3,How to make bread,13,2020-03-29
2020-09-20,how,3,How to make bread,13,2020-03-29
2020-09-27,how,3,How to make bread,13,2020-03-29
2020-10-04,how,3,How to make bread,16,2020-03-29
2020-10-11,how,3,How to make bread,21,2020-03-29
2020-10-18,how,3,How to make bread,16,2020-03-29
2020-10-25,how,3,How to make bread,16,2020-03-29
2020-11-01,how,3,How to make bread,18,2020-03-29
2020-11-08,how,3,How to make bread,21,2020-03-29
2020-11-15,how,3,How to make bread,19,2020-03-29
2020-11-22,how,3,How to make bread,19,2020-03-29
2020-11-29,how,3,How to make bread,14,2020-03-29
2020-12-06,how,3,How to make bread,14,2020-03-29
2020-12-13,how,3,How to make bread,14,2020-03-29
2020-12-20,how,3,How to make bread,25,2020-03-29
2020-01-05,how,4,How to get tested for coronavirus,0,2020-03-08
2020-01-12,how,4,How to get tested for coronavirus,0,2020-03-08
2020-01-19,how,4,How to get tested for coronavirus,0,2020-03-08
2020-01-26,how,4,How to get tested for coronavirus,1,2020-03-08
2020-02-02,how,4,How to get tested for coronavirus,1,2020-03-08
2020-02-09,how,4,How to get tested for coronavirus,3,2020-03-08
2020-02-16,how,4,How to get tested for coronavirus,0,2020-03-08
2020-02-23,how,4,How to get tested for coronavirus,4,2020-03-08
2020-03-01,how,4,How to get tested for coronavirus,17,2020-03-08
2020-03-08,how,4,How to get tested for coronavirus,100,2020-03-08
2020-03-15,how,4,How to get tested for coronavirus,94,2020-03-08
2020-03-22,how,4,How to get tested for coronavirus,32,2020-03-08
2020-03-29,how,4,How to get tested for coronavirus,12,2020-03-08
2020-04-05,how,4,How to get tested for coronavirus,9,2020-03-08
2020-04-12,how,4,How to get tested for coronavirus,7,2020-03-08
2020-04-19,how,4,How to get tested for coronavirus,11,2020-03-08
2020-04-26,how,4,How to get tested for coronavirus,17,2020-03-08
2020-05-03,how,4,How to get tested for coronavirus,13,2020-03-08
2020-05-10,how,4,How to get tested for coronavirus,12,2020-03-08
2020-05-17,how,4,How to get tested for coronavirus,10,2020-03-08
2020-05-24,how,4,How to get tested for coronavirus,6,2020-03-08
2020-05-31,how,4,How to get tested for coronavirus,9,2020-03-08
2020-06-07,how,4,How to get tested for coronavirus,4,2020-03-08
2020-06-14,how,4,How to get tested for coronavirus,3,2020-03-08
2020-06-21,how,4,How to get tested for coronavirus,4,2020-03-08
2020-06-28,how,4,How to get tested for coronavirus,4,2020-03-08
2020-07-05,how,4,How to get tested for coronavirus,3,2020-03-08
2020-07-12,how,4,How to get tested for coronavirus,1,2020-03-08
2020-07-19,how,4,How to get tested for coronavirus,3,2020-03-08
2020-07-26,how,4,How to get tested for coronavirus,1,2020-03-08
2020-08-02,how,4,How to get tested for coronavirus,3,2020-03-08
2020-08-09,how,4,How to get tested for coronavirus,1,2020-03-08
2020-08-16,how,4,How to get tested for coronavirus,2,2020-03-08
2020-08-23,how,4,How to get tested for coronavirus,3,2020-03-08
2020-08-30,how,4,How to get tested for coronavirus,6,2020-03-08
2020-09-06,how,4,How to get tested for coronavirus,10,2020-03-08
2020-09-13,how,4,How to get tested for coronavirus,4,2020-03-08
2020-09-20,how,4,How to get tested for coronavirus,5,2020-03-08
2020-09-27,how,4,How to get tested for coronavirus,1,2020-03-08
2020-10-04,how,4,How to get tested for coronavirus,1,2020-03-08
2020-10-11,how,4,How to get tested for coronavirus,1,2020-03-08
2020-10-18,how,4,How to get tested for coronavirus,1,2020-03-08
2020-10-25,how,4,How to get tested for coronavirus,2,2020-03-08
2020-11-01,how,4,How to get tested for coronavirus,2,2020-03-08
2020-11-08,how,4,How to get tested for coronavirus,2,2020-03-08
2020-11-15,how,4,How to get tested for coronavirus,1,2020-03-08
2020-11-22,how,4,How to get tested for coronavirus,3,2020-03-08
2020-11-29,how,4,How to get tested for coronavirus,1,2020-03-08
2020-12-06,how,4,How to get tested for coronavirus,1,2020-03-08
2020-12-13,how,4,How to get tested for coronavirus,0,2020-03-08
2020-12-20,how,4,How to get tested for coronavirus,2,2020-03-08
2020-01-05,how,5,How to cut your own hair,5,2020-03-29
2020-01-12,how,5,How to cut your own hair,9,2020-03-29
2020-01-19,how,5,How to cut your own hair,6,2020-03-29
2020-01-26,how,5,How to cut your own hair,6,2020-03-29
2020-02-02,how,5,How to cut your own hair,6,2020-03-29
2020-02-09,how,5,How to cut your own hair,4,2020-03-29
2020-02-16,how,5,How to cut your own hair,5,2020-03-29
2020-02-23,how,5,How to cut your own hair,4,2020-03-29
2020-03-01,how,5,How to cut your own hair,4,2020-03-29
2020-03-08,how,5,How to cut your own hair,5,2020-03-29
2020-03-15,how,5,How to cut your own hair,16,2020-03-29
2020-03-22,how,5,How to cut your own hair,71,2020-03-29
2020-03-29,how,5,How to cut your own hair,100,2020-03-29
2020-04-05,how,5,How to cut your own hair,90,2020-03-29
2020-04-12,how,5,How to cut your own hair,100,2020-03-29
2020-04-19,how,5,How to cut your own hair,74,2020-03-29
2020-04-26,how,5,How to cut your own hair,83,2020-03-29
2020-05-03,how,5,How to cut your own hair,58,2020-03-29
2020-05-10,how,5,How to cut your own hair,69,2020-03-29
2020-05-17,how,5,How to cut your own hair,59,2020-03-29
2020-05-24,how,5,How to cut your own hair,49,2020-03-29
2020-05-31,how,5,How to cut your own hair,40,2020-03-29
2020-06-07,how,5,How to cut your own hair,37,2020-03-29
2020-06-14,how,5,How to cut your own hair,29,2020-03-29
2020-06-21,how,5,How to cut your own hair,28,2020-03-29
2020-06-28,how,5,How to cut your own hair,21,2020-03-29
2020-07-05,how,5,How to cut your own hair,17,2020-03-29
2020-07-12,how,5,How to cut your own hair,9,2020-03-29
2020-07-19,how,5,How to cut your own hair,11,2020-03-29
2020-07-26,how,5,How to cut your own hair,11,2020-03-29
2020-08-02,how,5,How to cut your own hair,7,2020-03-29
2020-08-09,how,5,How to cut your own hair,9,2020-03-29
2020-08-16,how,5,How to cut your own hair,8,2020-03-29
2020-08-23,how,5,How to cut your own hair,10,2020-03-29
2020-08-30,how,5,How to cut your own hair,9,2020-03-29
2020-09-06,how,5,How to cut your own hair,8,2020-03-29
2020-09-13,how,5,How to cut your own hair,7,2020-03-29
2020-09-20,how,5,How to cut your own hair,6,2020-03-29
2020-09-27,how,5,How to cut your own hair,5,2020-03-29
2020-10-04,how,5,How to cut your own hair,6,2020-03-29
2020-10-11,how,5,How to cut your own hair,8,2020-03-29
2020-10-18,how,5,How to cut your own hair,8,2020-03-29
2020-10-25,how,5,How to cut your own hair,6,2020-03-29
2020-11-01,how,5,How to cut your own hair,15,2020-03-29
2020-11-08,how,5,How to cut your own hair,11,2020-03-29
2020-11-15,how,5,How to cut your own hair,13,2020-03-29
2020-11-22,how,5,How to cut your own hair,11,2020-03-29
2020-11-29,how,5,How to cut your own hair,10,2020-03-29
2020-12-06,how,5,How to cut your own hair,8,2020-03-29
2020-12-13,how,5,How to cut your own hair,10,2020-03-29
2020-12-20,how,5,How to cut your own hair,12,2020-03-29
2020-01-05,how,6,How to cook eel,0,2020-11-15
2020-01-12,how,6,How to cook eel,0,2020-11-15
2020-01-19,how,6,How to cook eel,0,2020-11-15
2020-01-26,how,6,How to cook eel,0,2020-11-15
2020-02-02,how,6,How to cook eel,0,2020-11-15
2020-02-09,how,6,How to cook eel,0,2020-11-15
2020-02-16,how,6,How to cook eel,0,2020-11-15
2020-02-23,how,6,How to cook eel,0,2020-11-15
2020-03-01,how,6,How to cook eel,0,2020-11-15
2020-03-08,how,6,How to cook eel,0,2020-11-15
2020-03-15,how,6,How to cook eel,0,2020-11-15
2020-03-22,how,6,How to cook eel,1,2020-11-15
2020-03-29,how,6,How to cook eel,0,2020-11-15
2020-04-05,how,6,How to cook eel,0,2020-11-15
2020-04-12,how,6,How to cook eel,0,2020-11-15
2020-04-19,how,6,How to cook eel,0,2020-11-15
2020-04-26,how,6,How to cook eel,0,2020-11-15
2020-05-03,how,6,How to cook eel,1,2020-11-15
2020-05-10,how,6,How to cook eel,0,2020-11-15
2020-05-17,how,6,How to cook eel,0,2020-11-15
2020-05-24,how,6,How to cook eel,0,2020-11-15
2020-05-31,how,6,How to cook eel,0,2020-11-15
2020-06-07,how,6,How to cook eel,0,2020-11-15
2020-06-14,how,6,How to cook eel,0,2020-11-15
2020-06-21,how,6,How to cook eel,0,2020-11-15
2020-06-28,how,6,How to cook eel,0,2020-11-15
2020-07-05,how,6,How to cook eel,0,2020-11-15
2020-07-12,how,6,How to cook eel,0,2020-11-15
2020-07-19,how,6,How to cook eel,0,2020-11-15
2020-07-26,how,6,How to cook eel,0,2020-11-15
2020-08-02,how,6,How to cook eel,0,2020-11-15
2020-08-09,how,6,How to cook eel,0,2020-11-15
2020-08-16,how,6,How to cook eel,0,2020-11-15
2020-08-23,how,6,How to cook eel,0,2020-11-15
2020-08-30,how,6,How to cook eel,1,2020-11-15
2020-09-06,how,6,How to cook eel,0,2020-11-15
2020-09-13,how,6,How to cook eel,0,2020-11-15
2020-09-20,how,6,How to cook eel,0,2020-11-15
2020-09-27,how,6,How to cook eel,0,2020-11-15
2020-10-04,how,6,How to cook eel,0,2020-11-15
2020-10-11,how,6,How to cook eel,0,2020-11-15
2020-10-18,how,6,How to cook eel,0,2020-11-15
2020-10-25,how,6,How to cook eel,0,2020-11-15
2020-11-01,how,6,How to cook eel,0,2020-11-15
2020-11-08,how,6,How to cook eel,0,2020-11-15
2020-11-15,how,6,How to cook eel,100,2020-11-15
2020-11-22,how,6,How to cook eel,0,2020-11-15
2020-11-29,how,6,How to cook eel,0,2020-11-15
2020-12-06,how,6,How to cook eel,1,2020-11-15
2020-12-13,how,6,How to cook eel,1,2020-11-15
2020-12-20,how,6,How to cook eel,1,2020-11-15
2020-01-05,how,7,How to cut men's hair,0,2020-04-05
2020-01-12,how,7,How to cut men's hair,3,2020-04-05
2020-01-19,how,7,How to cut men's hair,3,2020-04-05
2020-01-26,how,7,How to cut men's hair,0,2020-04-05
2020-02-02,how,7,How to cut men's hair,3,2020-04-05
2020-02-09,how,7,How to cut men's hair,0,2020-04-05
2020-02-16,how,7,How to cut men's hair,0,2020-04-05
2020-02-23,how,7,How to cut men's hair,3,2020-04-05
2020-03-01,how,7,How to cut men's hair,3,2020-04-05
2020-03-08,how,7,How to cut men's hair,0,2020-04-05
2020-03-15,how,7,How to cut men's hair,8,2020-04-05
2020-03-22,how,7,How to cut men's hair,42,2020-04-05
2020-03-29,how,7,How to cut men's hair,61,2020-04-05
2020-04-05,how,7,How to cut men's hair,100,2020-04-05
2020-04-12,how,7,How to cut men's hair,93,2020-04-05
2020-04-19,how,7,How to cut men's hair,64,2020-04-05
2020-04-26,how,7,How to cut men's hair,88,2020-04-05
2020-05-03,how,7,How to cut men's hair,44,2020-04-05
2020-05-10,how,7,How to cut men's hair,87,2020-04-05
2020-05-17,how,7,How to cut men's hair,90,2020-04-05
2020-05-24,how,7,How to cut men's hair,83,2020-04-05
2020-05-31,how,7,How to cut men's hair,31,2020-04-05
2020-06-07,how,7,How to cut men's hair,23,2020-04-05
2020-06-14,how,7,How to cut men's hair,24,2020-04-05
2020-06-21,how,7,How to cut men's hair,12,2020-04-05
2020-06-28,how,7,How to cut men's hair,21,2020-04-05
2020-07-05,how,7,How to cut men's hair,10,2020-04-05
2020-07-12,how,7,How to cut men's hair,3,2020-04-05
2020-07-19,how,7,How to cut men's hair,3,2020-04-05
2020-07-26,how,7,How to cut men's hair,3,2020-04-05
2020-08-02,how,7,How to cut men's hair,5,2020-04-05
2020-08-09,how,7,How to cut men's hair,3,2020-04-05
2020-08-16,how,7,How to cut men's hair,5,2020-04-05
2020-08-23,how,7,How to cut men's hair,3,2020-04-05
2020-08-30,how,7,How to cut men's hair,0,2020-04-05
2020-09-06,how,7,How to cut men's hair,5,2020-04-05
2020-09-13,how,7,How to cut men's hair,5,2020-04-05
2020-09-20,how,7,How to cut men's hair,5,2020-04-05
2020-09-27,how,7,How to cut men's hair,0,2020-04-05
2020-10-04,how,7,How to cut men's hair,0,2020-04-05
2020-10-11,how,7,How to cut men's hair,0,2020-04-05
2020-10-18,how,7,How to cut men's hair,0,2020-04-05
2020-10-25,how,7,How to cut men's hair,6,2020-04-05
2020-11-01,how,7,How to cut men's hair,0,2020-04-05
2020-11-08,how,7,How to cut men's hair,3,2020-04-05
2020-11-15,how,7,How to cut men's hair,5,2020-04-05
2020-11-22,how,7,How to cut men's hair,3,2020-04-05
2020-11-29,how,7,How to cut men's hair,3,2020-04-05
2020-12-06,how,7,How to cut men's hair,17,2020-04-05
2020-12-13,how,7,How to cut men's hair,3,2020-04-05
2020-12-20,how,7,How to cut men's hair,11,2020-04-05
2020-01-05,how,8,How to boost immune system,8,2020-03-15
2020-01-12,how,8,How to boost immune system,8,2020-03-15
2020-01-19,how,8,How to boost immune system,14,2020-03-15
2020-01-26,how,8,How to boost immune system,16,2020-03-15
2020-02-02,how,8,How to boost immune system,10,2020-03-15
2020-02-09,how,8,How to boost immune system,12,2020-03-15
2020-02-16,how,8,How to boost immune system,4,2020-03-15
2020-02-23,how,8,How to boost immune system,25,2020-03-15
2020-03-01,how,8,How to boost immune system,34,2020-03-15
2020-03-08,how,8,How to boost immune system,72,2020-03-15
2020-03-15,how,8,How to boost immune system,100,2020-03-15
2020-03-22,how,8,How to boost immune system,35,2020-03-15
2020-03-29,how,8,How to boost immune system,33,2020-03-15
2020-04-05,how,8,How to boost immune system,18,2020-03-15
2020-04-12,how,8,How to boost immune system,18,2020-03-15
2020-04-19,how,8,How to boost immune system,7,2020-03-15
2020-04-26,how,8,How to boost immune system,10,2020-03-15
2020-05-03,how,8,How to boost immune system,12,2020-03-15
2020-05-10,how,8,How to boost immune system,9,2020-03-15
2020-05-17,how,8,How to boost immune system,7,2020-03-15
2020-05-24,how,8,How to boost immune system,11,2020-03-15
2020-05-31,how,8,How to boost immune system,0,2020-03-15
2020-06-07,how,8,How to boost immune system,0,2020-03-15
2020-06-14,how,8,How to boost immune system,3,2020-03-15
2020-06-21,how,8,How to boost immune system,4,2020-03-15
2020-06-28,how,8,How to boost immune system,7,2020-03-15
2020-07-05,how,8,How to boost immune system,0,2020-03-15
2020-07-12,how,8,How to boost immune system,6,2020-03-15
2020-07-19,how,8,How to boost immune system,11,2020-03-15
2020-07-26,how,8,How to boost immune system,4,2020-03-15
2020-08-02,how,8,How to boost immune system,4,2020-03-15
2020-08-09,how,8,How to boost immune system,2,2020-03-15
2020-08-16,how,8,How to boost immune system,4,2020-03-15
2020-08-23,how,8,How to boost immune system,11,2020-03-15
2020-08-30,how,8,How to boost immune system,14,2020-03-15
2020-09-06,how,8,How to boost immune system,10,2020-03-15
2020-09-13,how,8,How to boost immune system,12,2020-03-15
2020-09-20,how,8,How to boost immune system,10,2020-03-15
2020-09-27,how,8,How to boost immune system,6,2020-03-15
2020-10-04,how,8,How to boost immune system,8,2020-03-15
2020-10-11,how,8,How to boost immune system,2,2020-03-15
2020-10-18,how,8,How to boost immune system,8,2020-03-15
2020-10-25,how,8,How to boost immune system,4,2020-03-15
2020-11-01,how,8,How to boost immune system,2,2020-03-15
2020-11-08,how,8,How to boost immune system,2,2020-03-15
2020-11-15,how,8,How to boost immune system,8,2020-03-15
2020-11-22,how,8,How to boost immune system,4,2020-03-15
2020-11-29,how,8,How to boost immune system,8,2020-03-15
2020-12-06,how,8,How to boost immune system,2,2020-03-15
2020-12-13,how,8,How to boost immune system,0,2020-03-15
2020-12-20,how,8,How to boost immune system,3,2020-03-15
2020-01-05,how,9,How to self isolate,0,2020-03-15
2020-01-12,how,9,How to self isolate,0,2020-03-15
2020-01-19,how,9,How to self isolate,0,2020-03-15
2020-01-26,how,9,How to self isolate,0,2020-03-15
2020-02-02,how,9,How to self isolate,0.29,2020-03-15
2020-02-09,how,9,How to self isolate,0,2020-03-15
2020-02-16,how,9,How to self isolate,0.31,2020-03-15
2020-02-23,how,9,How to self isolate,3,2020-03-15
2020-03-01,how,9,How to self isolate,7,2020-03-15
2020-03-08,how,9,How to self isolate,42,2020-03-15
2020-03-15,how,9,How to self isolate,100,2020-03-15
2020-03-22,how,9,How to self isolate,64,2020-03-15
2020-03-29,how,9,How to self isolate,24,2020-03-15
2020-04-05,how,9,How to self isolate,14,2020-03-15
2020-04-12,how,9,How to self isolate,9,2020-03-15
2020-04-19,how,9,How to self isolate,4,2020-03-15
2020-04-26,how,9,How to self isolate,6,2020-03-15
2020-05-03,how,9,How to self isolate,4,2020-03-15
2020-05-10,how,9,How to self isolate,4,2020-03-15
2020-05-17,how,9,How to self isolate,4,2020-03-15
2020-05-24,how,9,How to self isolate,6,2020-03-15
2020-05-31,how,9,How to self isolate,3,2020-03-15
2020-06-07,how,9,How to self isolate,3,2020-03-15
2020-06-14,how,9,How to self isolate,3,2020-03-15
2020-06-21,how,9,How to self isolate,3,2020-03-15
2020-06-28,how,9,How to self isolate,3,2020-03-15
2020-07-05,how,9,How to self isolate,5,2020-03-15
2020-07-12,how,9,How to self isolate,4,2020-03-15
2020-07-19,how,9,How to self isolate,6,2020-03-15
2020-07-26,how,9,How to self isolate,8,2020-03-15
2020-08-02,how,9,How to self isolate,6,2020-03-15
2020-08-09,how,9,How to self isolate,5,2020-03-15
2020-08-16,how,9,How to self isolate,10,2020-03-15
2020-08-23,how,9,How to self isolate,9,2020-03-15
2020-08-30,how,9,How to self isolate,10,2020-03-15
2020-09-06,how,9,How to self isolate,14,2020-03-15
2020-09-13,how,9,How to self isolate,17,2020-03-15
2020-09-20,how,9,How to self isolate,19,2020-03-15
2020-09-27,how,9,How to self isolate,21,2020-03-15
2020-10-04,how,9,How to self isolate,25,2020-03-15
2020-10-11,how,9,How to self isolate,26,2020-03-15
2020-10-18,how,9,How to self isolate,27,2020-03-15
2020-10-25,how,9,How to self isolate,34,2020-03-15
2020-11-01,how,9,How to self isolate,21,2020-03-15
2020-11-08,how,9,How to self isolate,28,2020-03-15
2020-11-15,how,9,How to self isolate,23,2020-03-15
2020-11-22,how,9,How to self isolate,14,2020-03-15
2020-11-29,how,9,How to self isolate,17,2020-03-15
2020-12-06,how,9,How to self isolate,31,2020-03-15
2020-12-13,how,9,How to self isolate,43,2020-03-15
2020-12-20,how,9,How to self isolate,39,2020-03-15
2020-01-05,how,10,How to treat coronavirus,0,2020-03-08
2020-01-12,how,10,How to treat coronavirus,0,2020-03-08
2020-01-19,how,10,How to treat coronavirus,9,2020-03-08
2020-01-26,how,10,How to treat coronavirus,10,2020-03-08
2020-02-02,how,10,How to treat coronavirus,3,2020-03-08
2020-02-09,how,10,How to treat coronavirus,13,2020-03-08
2020-02-16,how,10,How to treat coronavirus,1,2020-03-08
2020-02-23,how,10,How to treat coronavirus,31,2020-03-08
2020-03-01,how,10,How to treat coronavirus,31,2020-03-08
2020-03-08,how,10,How to treat coronavirus,100,2020-03-08
2020-03-15,how,10,How to treat coronavirus,63,2020-03-08
2020-03-22,how,10,How to treat coronavirus,57,2020-03-08
2020-03-29,how,10,How to treat coronavirus,40,2020-03-08
2020-04-05,how,10,How to treat coronavirus,16,2020-03-08
2020-04-12,how,10,How to treat coronavirus,26,2020-03-08
2020-04-19,how,10,How to treat coronavirus,9,2020-03-08
2020-04-26,how,10,How to treat coronavirus,3,2020-03-08
2020-05-03,how,10,How to treat coronavirus,6,2020-03-08
2020-05-10,how,10,How to treat coronavirus,8,2020-03-08
2020-05-17,how,10,How to treat coronavirus,3,2020-03-08
2020-05-24,how,10,How to treat coronavirus,3,2020-03-08
2020-05-31,how,10,How to treat coronavirus,6,2020-03-08
2020-06-07,how,10,How to treat coronavirus,4,2020-03-08
2020-06-14,how,10,How to treat coronavirus,5,2020-03-08
2020-06-21,how,10,How to treat coronavirus,1,2020-03-08
2020-06-28,how,10,How to treat coronavirus,4,2020-03-08
2020-07-05,how,10,How to treat coronavirus,5,2020-03-08
