region,councilName,wardName,DistrictGSS,WardGSS,partyFullName,party,candidateFullName,candidateFirstName,candidateLastName,numVotes,elected
London,Barking and Dagenham,Becontree,E09000002,E05000028,The Christian Party,Other,"Watson, Paula D. Ms.",Paula,Watson,192,0
London,Barking and Dagenham,Becontree,E09000002,E05000028,The Christian Party,Other,"Ralph, Robert",Robert,Ralph,191,0
London,Barking and Dagenham,Becontree,E09000002,E05000028,The Christian Party,Other,"Conway, Benjamin D.",Benjamin,Conway,179,0
London,Barking and Dagenham,Chadwell Heath,E09000002,E05000029,The Labour Party Candidate,Lab,"Mckenzie, Milton",Milton,Mckenzie,1984,1
London,Barking and Dagenham,Chadwell Heath,E09000002,E05000029,The Labour Party Candidate,Lab,"Wade, Jeff",Jeff,Wade,1818,1
London,Barking and Dagenham,Chadwell Heath,E09000002,E05000029,The Labour Party Candidate,Lab,"Tarry, Sam",Sam,Tarry,1785,1
London,Barking and Dagenham,Chadwell Heath,E09000002,E05000029,Conservative Party Candidate,Con,"Justice, Terry *",Terry,Justice,1411,0
London,Barking and Dagenham,Chadwell Heath,E09000002,E05000029,Conservative Party Candidate,Con,"Justice, Maire Ms.",Maire,Justice,1306,0
London,Barking and Dagenham,Chadwell Heath,E09000002,E05000029,Conservative Party Candidate,Con,"Gough, Cathal",Cathal,Gough,1121,0
London,Barking and Dagenham,Chadwell Heath,E09000002,E05000029,British National Party,BNP,"Woodward, George W.",George,Woodward,594,0
London,Barking and Dagenham,Chadwell Heath,E09000002,E05000029,Liberal Democrat Focus Team,LD,"Probert, Gina T. Ms.",Gina,Probert,481,0
London,Barking and Dagenham,Chadwell Heath,E09000002,E05000029,UK Independence Party,UKIP,"Smith, Kerry J.D.L.",Kerry,Smith,369,0
London,Barking and Dagenham,Chadwell Heath,E09000002,E05000029,The Green Party Candidate,Grn,"Rosaman, Debbie A. Ms.",Debbie,Rosaman,213,0
London,Barking and Dagenham,Chadwell Heath,E09000002,E05000029,The Green Party Candidate,Grn,"Cooke, Angie Ms.",Angie,Cooke,201,0
London,Barking and Dagenham,Chadwell Heath,E09000002,E05000029,The Green Party Candidate,Grn,"Ridout, Mike",Mike,Ridout,159,0
London,Barking and Dagenham,Eastbrook,E09000002,E05000030,The Labour Party Candidate,Lab,"Mccarthy, Mick *",Mick,Mccarthy,2295,1
London,Barking and Dagenham,Eastbrook,E09000002,E05000030,The Labour Party Candidate,Lab,"Burgon, Pamela J. Ms.",Pamela,Burgon,2026,1
London,Barking and Dagenham,Eastbrook,E09000002,E05000030,The Labour Party Candidate,Lab,"Ramsay, Tony",Tony,Ramsay,1854,1
London,Barking and Dagenham,Eastbrook,E09000002,E05000030,Conservative Party Candidate,Con,"Connelly, Neil S. *",Neil,Connelly,1232,0
London,Barking and Dagenham,Eastbrook,E09000002,E05000030,Conservative Party Candidate,Con,"Connelly, Sue Ms.",Sue,Connelly,1201,0
London,Barking and Dagenham,Eastbrook,E09000002,E05000030,Conservative Party Candidate,Con,"Sunley-Smith, Daniel J.",Daniel,Sunley-Smith,1066,0
London,Barking and Dagenham,Eastbrook,E09000002,E05000030,British National Party,BNP,"Knight, Christine A.",Christine,Knight,903,0
London,Barking and Dagenham,Eastbrook,E09000002,E05000030,British National Party,BNP,"Knight, Tony",Tony,Knight,900,0
London,Barking and Dagenham,Eastbrook,E09000002,E05000030,British National Party,BNP,"Lillywhite, John D.",John,Lillywhite,794,0
London,Barking and Dagenham,Eastbrook,E09000002,E05000030,Liberal Democrat Focus Team,LD,"Taiwo, Oluwole A.",Oluwole,Taiwo,392,0
London,Barking and Dagenham,Eastbrook,E09000002,E05000030,UK Independence Party,UKIP,"Chapman, Leslie R.",Leslie,Chapman,378,0
London,Barking and Dagenham,Eastbury,E09000002,E05000031,The Labour Party Candidate,Lab,"Alexander, Jeanne Ms.",Jeanne,Alexander,2104,1
London,Barking and Dagenham,Eastbury,E09000002,E05000031,The Labour Party Candidate,Lab,"Mcdermott, Jim *",Jim,Mcdermott,1958,1
London,Barking and Dagenham,Eastbury,E09000002,E05000031,The Labour Party Candidate,Lab,"Rai, Hardial S.",Hardial,Rai,1824,1
London,Barking and Dagenham,Eastbury,E09000002,E05000031,British National Party,BNP,"Marshall, Jeffrey C.",Jeffrey,Marshall,942,0
London,Barking and Dagenham,Eastbury,E09000002,E05000031,British National Party,BNP,"Wade, Trevor T.W.",Trevor,Wade,742,0
London,Barking and Dagenham,Eastbury,E09000002,E05000031,Liberal Democrat Focus Team,LD,"Riaz, Mohammed",Mohammed,Riaz,684,0
London,Barking and Dagenham,Eastbury,E09000002,E05000031,Liberal Democrat Focus Team,LD,"London, Terry",Terry,London,633,0
London,Barking and Dagenham,Eastbury,E09000002,E05000031,Liberal Democrat Focus Team,LD,"De Cruz, David L.",David,De Cruz,567,0
London,Barking and Dagenham,Eastbury,E09000002,E05000031,Conservative Party Candidate,Con,"Searle, Danny",Danny,Searle,457,0
London,Barking and Dagenham,Eastbury,E09000002,E05000031,Conservative Party Candidate,Con,"Gul, Hasan",Hasan,Gul,432,0
London,Barking and Dagenham,Eastbury,E09000002,E05000031,UK Independence Party,UKIP,"Chapman, Ronald D.",Ronald,Chapman,430,0
London,Barking and Dagenham,Eastbury,E09000002,E05000031,Conservative Party Candidate,Con,"Semitego, Richard",Richard,Semitego,357,0
London,Barking and Dagenham,Eastbury,E09000002,E05000031,Independent,Other,"Challis, Dianne Ms.",Dianne,Challis,134,0
London,Barking and Dagenham,Eastbury,E09000002,E05000031,Independent,Other,"Munroe, Danny",Danny,Munroe,70,0
London,Barking and Dagenham,Gascoigne,E09000002,E05000032,The Labour Party Candidate,Lab,"Ashraf, Saima",Saima,Ashraf,2725,1
London,Barking and Dagenham,Gascoigne,E09000002,E05000032,The Labour Party Candidate,Lab,"Aziz, Abdul",Abdul,Aziz,2668,1
London,Barking and Dagenham,Gascoigne,E09000002,E05000032,The Labour Party Candidate,Lab,"Twomey, Dominic",Dominic,Twomey,2576,1
London,Barking and Dagenham,Gascoigne,E09000002,E05000032,British National Party,BNP,"Fergie, John C.",John,Fergie,536,0
London,Barking and Dagenham,Gascoigne,E09000002,E05000032,Conservative Party Candidate,Con,"Baig, Sherry",Sherry,Baig,499,0
London,Barking and Dagenham,Gascoigne,E09000002,E05000032,Liberal Democrat Focus Team,LD,"Okoruwe, Chukwuma",Chukwuma,Okoruwe,456,0
London,Barking and Dagenham,Gascoigne,E09000002,E05000032,Independent,Other,"Rush, Val Ms. *",Val,Rush,436,0
London,Barking and Dagenham,Gascoigne,E09000002,E05000032,Conservative Party Candidate,Con,"Sekisonge, Kizito G.",Kizito,Sekisonge,390,0
London,Barking and Dagenham,Gascoigne,E09000002,E05000032,Conservative Party Candidate,Con,"Ibelgauptas, Slava",Slava,Ibelgauptas,357,0
London,Barking and Dagenham,Gascoigne,E09000002,E05000032,Independent,Other,"Mitchell, Maggie Ms.",Maggie,Mitchell,311,0
London,Barking and Dagenham,Gascoigne,E09000002,E05000032,Independent,Other,"Ward, Colin N.",Colin,Ward,219,0
London,Barking and Dagenham,Gascoigne,E09000002,E05000032,The Christian Party,Other,"Ezebuenyi, Frank",Frank,Ezebuenyi,196,0
London,Barking and Dagenham,Gascoigne,E09000002,E05000032,The Christian Party,Other,"Oronsaye, Patrick",Patrick,Oronsaye,175,0
London,Barking and Dagenham,Goresbrook,E09000002,E05000033,The Labour Party Candidate,Lab,"Letchford, Graham",Graham,Letchford,2142,1
London,Barking and Dagenham,Goresbrook,E09000002,E05000033,The Labour Party Candidate,Lab,"Couling, Louise Ms.",Louise,Couling,1963,1
London,Barking and Dagenham,Goresbrook,E09000002,E05000033,The Labour Party Candidate,Lab,"Clee, Jim",Jim,Clee,1872,1
London,Barking and Dagenham,Goresbrook,E09000002,E05000033,British National Party,BNP,"Barnbrook, Richard J. *",Richard,Barnbrook,1340,0
London,Barking and Dagenham,Goresbrook,E09000002,E05000033,British National Party,BNP,"Butler, Edward M.",Edward,Butler,1146,0
London,Barking and Dagenham,Goresbrook,E09000002,E05000033,British National Party,BNP,"Brunt, Shell Ms.",Shell,Brunt,1128,0
London,Barking and Dagenham,Goresbrook,E09000002,E05000033,Conservative Party Candidate,Con,"Naylor, George D.",George,Naylor,644,0
London,Barking and Dagenham,Goresbrook,E09000002,E05000033,Conservative Party Candidate,Con,"Newton, Christopher",Christopher,Newton,533,0
London,Barking and Dagenham,Goresbrook,E09000002,E05000033,Liberal Democrat Focus Team,LD,"Taiwo, Felicia Ms.",Felicia,Taiwo,457,0
London,Barking and Dagenham,Goresbrook,E09000002,E05000033,Liberal Democrat Focus Team,LD,"Shukura, Nzingha T. Ms.",Nzingha,Shukura,347,0
London,Barking and Dagenham,Goresbrook,E09000002,E05000033,Independent,Other,"Northover, Warren W. *",Warren,Northover,335,0
London,Barking and Dagenham,Heath,E09000002,E05000034,The Labour Party Candidate,Lab,"Reason, Linda A. Ms. *",Linda,Reason,2286,1
London,Barking and Dagenham,Heath,E09000002,E05000034,The Labour Party Candidate,Lab,"Miles, Dave",Dave,Miles,2241,1
London,Barking and Dagenham,Heath,E09000002,E05000034,The Labour Party Candidate,Lab,"Vincent, Gerry",Gerry,Vincent,1952,1
London,Barking and Dagenham,Heath,E09000002,E05000034,British National Party,BNP,"Lister, Sally Ms.",Sally,Lister,969,0
London,Barking and Dagenham,Heath,E09000002,E05000034,British National Party,BNP,"Sturdy, Paul L.W.",Paul,Sturdy,844,0
London,Barking and Dagenham,Heath,E09000002,E05000034,British National Party,BNP,"Taylor, Robert M.",Robert,Taylor,802,0
London,Barking and Dagenham,Heath,E09000002,E05000034,Conservative Party Candidate,Con,"Hallewell, Neil E.",Neil,Hallewell,676,0
London,Barking and Dagenham,Heath,E09000002,E05000034,Conservative Party Candidate,Con,"Smith, Richard J.",Richard,Smith,585,0
London,Barking and Dagenham,Heath,E09000002,E05000034,Conservative Party Candidate,Con,"Towler, Barbara A. Ms.",Barbara,Towler,522,0
London,Barking and Dagenham,Heath,E09000002,E05000034,Liberal Democrat Focus Team,LD,"London, Angela Ms.",Angela,London,447,0
London,Barking and Dagenham,Heath,E09000002,E05000034,UK Independence Party,UKIP,"Litwin, Yvonne P. Ms.",Yvonne,Litwin,337,0
London,Barking and Dagenham,Longbridge,E09000002,E05000035,The Labour Party Candidate,Lab,"Gill, Sukhninder S. Ms. *",Sukhninder,Gill,3292,1
London,Barking and Dagenham,Longbridge,E09000002,E05000035,The Labour Party Candidate,Lab,"Gill, Nirmal *",Nirmal,Gill,2900,1
London,Barking and Dagenham,Longbridge,E09000002,E05000035,The Labour Party Candidate,Lab,"Rice, Lynda Ms.",Lynda,Rice,2559,1
London,Barking and Dagenham,Longbridge,E09000002,E05000035,Liberal Democrat Focus Team,LD,"Uddin, Mohammod J.",Mohammod,Uddin,1239,0
London,Barking and Dagenham,Longbridge,E09000002,E05000035,Conservative Party Candidate,Con,"Ayer, Paul",Paul,Ayer,1221,0
London,Barking and Dagenham,Longbridge,E09000002,E05000035,Conservative Party Candidate,Con,"Rahman, Foyzur",Foyzur,Rahman,1109,0
London,Barking and Dagenham,Longbridge,E09000002,E05000035,British National Party,BNP,"Smith, Bede E.",Bede,Smith,677,0
London,Barking and Dagenham,Longbridge,E09000002,E05000035,Independent,Other,"Gosling, Edward L.",Edward,Gosling,452,0
London,Barking and Dagenham,Longbridge,E09000002,E05000035,Independent,Other,"Gosling, Eileen M. Ms.",Eileen,Gosling,388,0
London,Barking and Dagenham,Longbridge,E09000002,E05000035,UK Independence Party,UKIP,"Dias-Broughton, John W.",John,Dias-Broughton,383,0
London,Barking and Dagenham,Longbridge,E09000002,E05000035,Independent,Other,"Richards, Tony",Tony,Richards,369,0
London,Barking and Dagenham,Longbridge,E09000002,E05000035,Conservative Party Candidate,Con,"Bajwe, Komel",Komel,Bajwe,316,0
London,Barking and Dagenham,Longbridge,E09000002,E05000035,Independent,Other,"Munroe, Julie Ms.",Julie,Munroe,167,0
London,Barking and Dagenham,Mayesbrook,E09000002,E05000036,The Labour Party Candidate,Lab,"Hunt, Dorothy M. Ms. *",Dorothy,Hunt,1908,1
London,Barking and Dagenham,Mayesbrook,E09000002,E05000036,The Labour Party Candidate,Lab,"Baldwin, Ralph",Ralph,Baldwin,1777,1
London,Barking and Dagenham,Mayesbrook,E09000002,E05000036,The Labour Party Candidate,Lab,"Barratt, George",George,Barratt,1705,1
London,Barking and Dagenham,Mayesbrook,E09000002,E05000036,British National Party,BNP,"Lansdown, Tracy A.",Tracy,Lansdown,1123,0
London,Barking and Dagenham,Mayesbrook,E09000002,E05000036,British National Party,BNP,"Buckley, Robert J.A. *",Robert,Buckley,1109,0
London,Barking and Dagenham,Mayesbrook,E09000002,E05000036,British National Party,BNP,"Matthews, Mandy Ms.",Mandy,Matthews,1024,0
London,Barking and Dagenham,Mayesbrook,E09000002,E05000036,Conservative Party Candidate,Con,"O`Brien, Tom",Tom,O`Brien,778,0
London,Barking and Dagenham,Mayesbrook,E09000002,E05000036,Liberal Democrat Focus Team,LD,"Adesanoye, Funke",Funke,Adesanoye,528,0
London,Barking and Dagenham,Mayesbrook,E09000002,E05000036,UK Independence Party,UKIP,"Bedwell, Bert",Bert,Bedwell,496,0
London,Barking and Dagenham,Parsloes,E09000002,E05000037,The Labour Party Candidate,Lab,"Collins, Herbert J. *",Herbert,Collins,2158,1
London,Barking and Dagenham,Parsloes,E09000002,E05000037,The Labour Party Candidate,Lab,"Kangethe, Elizabeth Ms.",Elizabeth,Kangethe,1935,1
London,Barking and Dagenham,Parsloes,E09000002,E05000037,The Labour Party Candidate,Lab,"Rice, Chris",Chris,Rice,1913,1
London,Barking and Dagenham,Parsloes,E09000002,E05000037,British National Party,BNP,"Friend, Leigh",Leigh,Friend,1022,0
London,Barking and Dagenham,Parsloes,E09000002,E05000037,British National Party,BNP,"Forster, Christopher W.C.",Christopher,Forster,941,0
London,Barking and Dagenham,Parsloes,E09000002,E05000037,British National Party,BNP,"Mckay, Anthony S.",Anthony,Mckay,867,0
London,Barking and Dagenham,Parsloes,E09000002,E05000037,Conservative Party Candidate,Con,"Armstrong, Ronald",Ronald,Armstrong,763,0
London,Barking and Dagenham,Parsloes,E09000002,E05000037,Liberal Democrat Focus Team,LD,"Egbeson, Frederick",Frederick,Egbeson,575,0
London,Barking and Dagenham,River,E09000002,E05000038,The Labour Party Candidate,Lab,"Smith, Liam A. *",Liam,Smith,2406,1
London,Barking and Dagenham,River,E09000002,E05000038,The Labour Party Candidate,Lab,"Keller, Eileen S. Ms.",Eileen,Keller,2308,1
London,Barking and Dagenham,River,E09000002,E05000038,The Labour Party Candidate,Lab,"Jamu, Inder S. *",Inder,Jamu,2284,1
London,Barking and Dagenham,River,E09000002,E05000038,British National Party,BNP,"Jones, Scott",Scott,Jones,933,0
London,Barking and Dagenham,River,E09000002,E05000038,British National Party,BNP,"Pengelly, Victoria J. Ms.",Victoria,Pengelly,853,0
London,Barking and Dagenham,River,E09000002,E05000038,Conservative Party Candidate,Con,"Cockling, Jean M. Ms.",Jean,Cockling,576,0
London,Barking and Dagenham,River,E09000002,E05000038,UK Independence Party,UKIP,"Manning, Nobby",Nobby,Manning,505,0
London,Barking and Dagenham,River,E09000002,E05000038,Conservative Party Candidate,Con,"Bairstow, Ronald C.",Ronald,Bairstow,493,0
London,Barking and Dagenham,River,E09000002,E05000038,Conservative Party Candidate,Con,"Nwokebuife, Chris",Chris,Nwokebuife,404,0
London,Barking and Dagenham,River,E09000002,E05000038,Liberal Democrat Focus Team,LD,"Ogbonmwan, Martha N. Ms.",Martha,Ogbonmwan,367,0
London,Barking and Dagenham,River,E09000002,E05000038,The Christian Party,Other,"Araba, Arinola Ms.",Arinola,Araba,183,0
London,Barking and Dagenham,Thames,E09000002,E05000039,The Labour Party Candidate,Lab,"Channer, Josephine Ms.",Josephine,Channer,2067,1
London,Barking and Dagenham,Thames,E09000002,E05000039,The Labour Party Candidate,Lab,"Poulton, Barry *",Barry,Poulton,2042,1
London,Barking and Dagenham,Thames,E09000002,E05000039,The Labour Party Candidate,Lab,"Geddes, Cameron",Cameron,Geddes,1978,1
London,Barking and Dagenham,Thames,E09000002,E05000039,British National Party,BNP,"Evans, Roy",Roy,Evans,716,0
London,Barking and Dagenham,Thames,E09000002,E05000039,British National Party,BNP,"Todd, Andrew J.",Andrew,Todd,661,0
London,Barking and Dagenham,Thames,E09000002,E05000039,Independent,Other,"Barns, William F. *",William,Barns,610,0
London,Barking and Dagenham,Thames,E09000002,E05000039,Conservative Party Candidate,Con,"Courtier, Mark V.",Mark,Courtier,422,0
London,Barking and Dagenham,Thames,E09000002,E05000039,Liberal Democrat Focus Team,LD,"Rahman, Saifur",Saifur,Rahman,366,0
London,Barking and Dagenham,Thames,E09000002,E05000039,Conservative Party Candidate,Con,"Quadri, Moin A.",Moin,Quadri,347,0
London,Barking and Dagenham,Thames,E09000002,E05000039,Conservative Party Candidate,Con,"Onochie, Lauretta I. Ms.",Lauretta,Onochie,322,0
London,Barking and Dagenham,Thames,E09000002,E05000039,Independent,Other,"Dumbleton, Pam Ms.",Pam,Dumbleton,307,0
London,Barking and Dagenham,Thames,E09000002,E05000039,Independent,Other,"Wade, Terry",Terry,Wade,268,0
London,Barking and Dagenham,Valence,E09000002,E05000040,The Labour Party Candidate,Lab,"Worby, Maureen Ms.",Maureen,Worby,1803,1
London,Barking and Dagenham,Valence,E09000002,E05000040,The Labour Party Candidate,Lab,"Obasohan, Emmanuel",Emmanuel,Obasohan,1723,1
London,Barking and Dagenham,Valence,E09000002,E05000040,The Labour Party Candidate,Lab,"Salam, Abdus",Abdus,Salam,1610,1
London,Barking and Dagenham,Valence,E09000002,E05000040,British National Party,BNP,"Roberts, Christopher",Christopher,Roberts,1112,0
London,Barking and Dagenham,Valence,E09000002,E05000040,British National Party,BNP,"Rustem, Lawrence *",Lawrence,Rustem,995,0
London,Barking and Dagenham,Valence,E09000002,E05000040,British National Party,BNP,"Walker, Kara M. Ms.",Kara,Walker,963,0
London,Barking and Dagenham,Valence,E09000002,E05000040,Conservative Party Candidate,Con,"Butcher, Neil J.R.",Neil,Butcher,827,0
London,Barking and Dagenham,Valence,E09000002,E05000040,Liberal Democrat Focus Team,LD,"Blood, Alan A.",Alan,Blood,672,0
London,Barking and Dagenham,Village,E09000002,E05000041,The Labour Party Candidate,Lab,"Waker, Lee R. *",Lee,Waker,2454,1
London,Barking and Dagenham,Village,E09000002,E05000041,The Labour Party Candidate,Lab,"Waker, Philip T. *",Philip,Waker,2303,1
London,Barking and Dagenham,Village,E09000002,E05000041,The Labour Party Candidate,Lab,"Mullane, Margaret Ms.",Margaret,Mullane,2259,1
London,Barking and Dagenham,Village,E09000002,E05000041,British National Party,BNP,"Bird, Len",Len,Bird,1049,0
London,Barking and Dagenham,Village,E09000002,E05000041,Conservative Party Candidate,Con,"Beatty, Malcolm",Malcolm,Beatty,906,0
London,Barking and Dagenham,Village,E09000002,E05000041,Conservative Party Candidate,Con,"Zelkin, Roy A.",Roy,Zelkin,654,0
London,Barking and Dagenham,Village,E09000002,E05000041,Conservative Party Candidate,Con,"Omosule, Sammy",Sammy,Omosule,587,0
London,Barking and Dagenham,Village,E09000002,E05000041,Liberal Democrat Focus Team,LD,"Hills, Robert G.",Robert,Hills,555,0
London,Barking and Dagenham,Whalebone,E09000002,E05000042,The Labour Party Candidate,Lab,"Perry, Tony H.",Tony,Perry,2200,1
London,Barking and Dagenham,Whalebone,E09000002,E05000042,The Labour Party Candidate,Lab,"Jamu, Amardeep S.",Amardeep,Jamu,2103,1
London,Barking and Dagenham,Whalebone,E09000002,E05000042,The Labour Party Candidate,Lab,"White, John R. *",John,White,2085,1
London,Barking and Dagenham,Whalebone,E09000002,E05000042,Conservative Party Candidate,Con,"Naylor, Christine M. Ms.",Christine,Naylor,1112,0
London,Barking and Dagenham,Whalebone,E09000002,E05000042,Conservative Party Candidate,Con,"Uddin, Emran",Emran,Uddin,794,0
London,Barking and Dagenham,Whalebone,E09000002,E05000042,Conservative Party Candidate,Con,"Oguntona, Wale",Wale,Oguntona,788,0
London,Barking and Dagenham,Whalebone,E09000002,E05000042,British National Party,BNP,"Lillywhite, Robin L.",Robin,Lillywhite,603,0
London,Barking and Dagenham,Whalebone,E09000002,E05000042,Independent,Other,"Denyer, John R. *",John,Denyer,503,0
London,Barking and Dagenham,Whalebone,E09000002,E05000042,Liberal Democrat Focus Team,LD,"London, Maxine L. Ms.",Maxine,London,450,0
London,Barking and Dagenham,Whalebone,E09000002,E05000042,Independent,Other,"Robinson, Ingrid Ms.",Ingrid,Robinson,350,0
London,Barking and Dagenham,Whalebone,E09000002,E05000042,Independent,Other,"Robinson, Zac",Zac,Robinson,276,0
London,Barnet,Brunswick Park,E09000003,E05000043,Conservative Party Candidate,Con,"Tambourides, Andreas *",Andreas,Tambourides,3496,1
London,Barnet,Brunswick Park,E09000003,E05000043,Conservative Party Candidate,Con,"Rutter, Lisa Ms. *",Lisa,Rutter,3353,1
London,Barnet,Brunswick Park,E09000003,E05000043,Conservative Party Candidate,Con,"Hillan, Lynne Ms. *",Lynne,Hillan,3307,1
London,Barnet,Brunswick Park,E09000003,E05000043,The Labour Party Candidate,Lab,"Haylett, Marianne Ms.",Marianne,Haylett,1994,0
London,Barnet,Brunswick Park,E09000003,E05000043,The Labour Party Candidate,Lab,"Williams, Lawrence",Lawrence,Williams,1937,0
London,Barnet,Brunswick Park,E09000003,E05000043,The Labour Party Candidate,Lab,"Magoba, Clement",Clement,Magoba,1758,0
London,Barnet,Brunswick Park,E09000003,E05000043,Liberal Democrats,LD,"Wicksteed, Charles E.",Charles,Wicksteed,1289,0
London,Barnet,Brunswick Park,E09000003,E05000043,Liberal Democrats,LD,"Umbo, Eileen M. Ms.",Eileen,Umbo,1217,0
London,Barnet,Brunswick Park,E09000003,E05000043,Liberal Democrats,LD,"Wong, Gabrielle C. Ms.",Gabrielle,Wong,1066,0
London,Barnet,Brunswick Park,E09000003,E05000043,Green Party,Grn,"Bond, Ashley",Ashley,Bond,548,0
London,Barnet,Brunswick Park,E09000003,E05000043,Green Party,Grn,"Gurses, Murat",Murat,Gurses,431,0
London,Barnet,Brunswick Park,E09000003,E05000043,Green Party,Grn,"Javes, Howard",Howard,Javes,409,0
London,Barnet,Burnt Oak,E09000003,E05000044,The Labour Party Candidate,Lab,"Farrier, Claire Ms. *",Claire,Farrier,3541,1
London,Barnet,Burnt Oak,E09000003,E05000044,The Labour Party Candidate,Lab,"Brodkin, Alex",Alex,Brodkin,3519,1
London,Barnet,Burnt Oak,E09000003,E05000044,The Labour Party Candidate,Lab,"O'Macauley, Charlie *",Charlie,O'Macauley,3230,1
London,Barnet,Burnt Oak,E09000003,E05000044,Conservative Party Candidate,Con,"Dyall, Keith F.",Keith,Dyall,1315,0
London,Barnet,Burnt Oak,E09000003,E05000044,Conservative Party Candidate,Con,"Sparrow, Pat Ms.",Pat,Sparrow,1241,0
London,Barnet,Burnt Oak,E09000003,E05000044,Conservative Party Candidate,Con,"Martin, Michael J.",Michael,Martin,1179,0
London,Barnet,Burnt Oak,E09000003,E05000044,Liberal Democrats,LD,"Hatchett, Karen Ms.",Karen,Hatchett,890,0
London,Barnet,Burnt Oak,E09000003,E05000044,Liberal Democrats,LD,"Roberts, Michael C.",Michael,Roberts,780,0
London,Barnet,Burnt Oak,E09000003,E05000044,Liberal Democrats,LD,"Feszczur, Henryk P.",Henryk,Feszczur,760,0
London,Barnet,Childs Hill,E09000003,E05000045,Liberal Democrats,LD,"Cohen, Jack B. *",Jack,Cohen,2596,1
London,Barnet,Childs Hill,E09000003,E05000045,Liberal Democrats,LD,"Palmer, Monroe E. *",Monroe,Palmer,2519,1
London,Barnet,Childs Hill,E09000003,E05000045,Liberal Democrats,LD,"Palmer, Susette S. Ms. *",Susette,Palmer,2404,1
London,Barnet,Childs Hill,E09000003,E05000045,Conservative Party Candidate,Con,"Gearson, John P.S.",John,Gearson,2285,0
London,Barnet,Childs Hill,E09000003,E05000045,Conservative Party Candidate,Con,"Curtis, Robert",Robert,Curtis,2258,0
